-153,69.5, DENSITY ,1070,1.17, NAMERICA
-152.5,65, DENSITY ,1294,1.13, NAMERICA
-152.5,65.5, DENSITY ,1270,1.2, NAMERICA
-152.5,66, DENSITY ,1245,1.13, NAMERICA
-152.5,66.5, DENSITY ,1220,1.13, NAMERICA
-152.5,67, DENSITY ,1195,1.16, NAMERICA
-152.5,67.5, DENSITY ,1171,1.16, NAMERICA
-152.5,68, DENSITY ,1146,1.47, NAMERICA
-152.5,68.5, DENSITY ,1120,1.47, NAMERICA
-152.5,69, DENSITY ,1095,1.17, NAMERICA
-152.5,69.5, DENSITY ,1070,1.17, NAMERICA
-152,65, DENSITY ,1294,1.13, NAMERICA
-152,65.5, DENSITY ,1270,1.2, NAMERICA
-152,66, DENSITY ,1245,1.2, NAMERICA
-152,66.5, DENSITY ,1220,1.2, NAMERICA
-152,67, DENSITY ,1195,1.16, NAMERICA
-152,67.5, DENSITY ,1171,1.16, NAMERICA
-152,68, DENSITY ,1146,1.47, NAMERICA
-152,68.5, DENSITY ,1120,1.47, NAMERICA
-152,69, DENSITY ,1095,1.17, NAMERICA
-152,69.5, DENSITY ,1070,1.17, NAMERICA
-151.5,65, DENSITY ,1294,1.13, NAMERICA
-151.5,65.5, DENSITY ,1270,1.2, NAMERICA
-151.5,66, DENSITY ,1245,1.2, NAMERICA
-151.5,66.5, DENSITY ,1220,1.2, NAMERICA
-151.5,67, DENSITY ,1195,1.16, NAMERICA
-151.5,67.5, DENSITY ,1171,1.16, NAMERICA
-151.5,68, DENSITY ,1146,1.47, NAMERICA
-151.5,68.5, DENSITY ,1120,1.47, NAMERICA
-151.5,69, DENSITY ,1095,1.17, NAMERICA
-151.5,69.5, DENSITY ,1070,1.17, NAMERICA
-151,65, DENSITY ,1294,1.2, NAMERICA
-151,65.5, DENSITY ,1270,1.2, NAMERICA
-151,66, DENSITY ,1245,1.13, NAMERICA
-151,66.5, DENSITY ,1220,1.13, NAMERICA
-151,67, DENSITY ,1195,1.16, NAMERICA
-151,67.5, DENSITY ,1171,1.16, NAMERICA
-151,68, DENSITY ,1146,1.47, NAMERICA
-151,68.5, DENSITY ,1120,1.47, NAMERICA
-151,69, DENSITY ,1095,1.17, NAMERICA
-151,69.5, DENSITY ,1070,1.17, NAMERICA
-150.5,65, DENSITY ,1294,1.2, NAMERICA
-150.5,65.5, DENSITY ,1270,1.21, NAMERICA
-150.5,66, DENSITY ,1245,1.13, NAMERICA
-150.5,66.5, DENSITY ,1220,1.13, NAMERICA
-150.5,67, DENSITY ,1195,1.16, NAMERICA
-150.5,67.5, DENSITY ,1171,1.16, NAMERICA
-150.5,68, DENSITY ,1146,1.47, NAMERICA
-150.5,68.5, DENSITY ,1120,1.47, NAMERICA
-150.5,69, DENSITY ,1095,1.17, NAMERICA
-150.5,69.5, DENSITY ,1070,1.17, NAMERICA
-150,65, DENSITY ,1294,1.2, NAMERICA
-150,65.5, DENSITY ,1270,1.21, NAMERICA
-150,66, DENSITY ,1245,1.13, NAMERICA
-150,66.5, DENSITY ,1220,1.13, NAMERICA
-150,67, DENSITY ,1195,1.16, NAMERICA
-150,67.5, DENSITY ,1171,1.16, NAMERICA
-150,68, DENSITY ,1146,1.47, NAMERICA
-150,68.5, DENSITY ,1120,1.47, NAMERICA
-150,69, DENSITY ,1095,1.17, NAMERICA
