-153.5,69, ELEV ,1095,190, NAMERICA 
-153.5,69.5, ELEV ,1070,115, NAMERICA 
-153,65, ELEV ,1294,362, NAMERICA 
-153,65.5, ELEV ,1270,359, NAMERICA 
-153,66, ELEV ,1245,291, NAMERICA 
-153,66.5, ELEV ,1220,396, NAMERICA 
-153,67, ELEV ,1195,918, NAMERICA 
-153,67.5, ELEV ,1171,1016, NAMERICA 
-153,68, ELEV ,1146,1202, NAMERICA 
-153,68.5, ELEV ,1120,474, NAMERICA 
-153,69, ELEV ,1095,224, NAMERICA 
-153,69.5, ELEV ,1070,125, NAMERICA 
-152.5,65, ELEV ,1294,322, NAMERICA 
-152.5,65.5, ELEV ,1270,410, NAMERICA 
-152.5,66, ELEV ,1245,278, NAMERICA 
-152.5,66.5, ELEV ,1220,339, NAMERICA 
-152.5,67, ELEV ,1195,769, NAMERICA 
-152.5,67.5, ELEV ,1171,969, NAMERICA 
-152.5,68, ELEV ,1146,1074, NAMERICA 
-152.5,68.5, ELEV ,1120,450, NAMERICA 
-152.5,69, ELEV ,1095,220, NAMERICA 
-152.5,69.5, ELEV ,1070,105, NAMERICA 
-152,65, ELEV ,1294,342, NAMERICA 
-152,65.5, ELEV ,1270,559, NAMERICA 
-152,66, ELEV ,1245,295, NAMERICA 
-152,66.5, ELEV ,1220,284, NAMERICA 
-152,67, ELEV ,1195,728, NAMERICA 
-152,67.5, ELEV ,1171,935, NAMERICA 
-152,68, ELEV ,1146,1101, NAMERICA 
-152,68.5, ELEV ,1120,437, NAMERICA 
-152,69, ELEV ,1095,203, NAMERICA 
-152,69.5, ELEV ,1070,122, NAMERICA 
-151.5,65, ELEV ,1294,437, NAMERICA 
-151.5,65.5, ELEV ,1270,461, NAMERICA 
-151.5,66, ELEV ,1245,359, NAMERICA 
-151.5,66.5, ELEV ,1220,332, NAMERICA 
-151.5,67, ELEV ,1195,745, NAMERICA 
-151.5,67.5, ELEV ,1171,867, NAMERICA 
-151.5,68, ELEV ,1146,1074, NAMERICA 
-151.5,68.5, ELEV ,1120,501, NAMERICA 
-151.5,69, ELEV ,1095,179, NAMERICA 
-151.5,69.5, ELEV ,1070,105, NAMERICA 
-151,65, ELEV ,1294,437, NAMERICA 
-151,65.5, ELEV ,1270,677, NAMERICA 
-151,66, ELEV ,1245,528, NAMERICA 
-151,66.5, ELEV ,1220,464, NAMERICA 
-151,67, ELEV ,1195,684, NAMERICA 
-151,67.5, ELEV ,1171,914, NAMERICA 
-151,68, ELEV ,1146,1351, NAMERICA 
-151,68.5, ELEV ,1120,555, NAMERICA 
-151,69, ELEV ,1095,203, NAMERICA 
-151,69.5, ELEV ,1070,122, NAMERICA 
-150.5,65, ELEV ,1294,454, NAMERICA 
-150.5,65.5, ELEV ,1270,491, NAMERICA 
-150.5,66, ELEV ,1245,576, NAMERICA 
-150.5,66.5, ELEV ,1220,752, NAMERICA 
-150.5,67, ELEV ,1195,677, NAMERICA 
-150.5,67.5, ELEV ,1171,965, NAMERICA 
-150.5,68, ELEV ,1146,1456, NAMERICA 
